Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Rui Silva,Real Betis,1,POR,GK,30,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,29,34,"85,3",0,24,0,0,0,29/09/2024
Alexander Sørloth,Atlético Madrid,9,NOR,FW,28,55,0,0,0,0,2,1,0,0,18,0,0,1,0.1,0.1,0.1,2,0,10,11,"90,9",0,17,2,0,0,29/09/2024
Samuel Lino,Atlético Madrid,12,BRA,"LM,LB,WB",24,35,0,0,0,0,2,1,0,0,28,0,0,0,0.2,0.2,0,0,0,20,23,"87,0",3,21,3,1,0,29/09/2024
Antoine Griezmann,Atlético Madrid,7,FRA,"FW,AM",33,90,0,0,0,0,2,0,0,0,66,1,0,1,0.1,0.1,0.1,5,0,46,60,"76,7",7,46,3,2,1,29/09/2024
Julián Álvarez,Atlético Madrid,19,ARG,"LM,FW",24,74,0,0,0,0,2,1,1,0,38,0,0,0,0.1,0.1,0.1,3,0,25,30,"83,3",0,20,3,5,3,29/09/2024
Rodrigo Riquelme,Atlético Madrid,17,ESP,RM,24,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,5,7,"71,4",1,6,0,1,0,29/09/2024
Conor Gallagher,Atlético Madrid,4,ENG,CM,24,69,0,0,0,0,1,0,1,0,55,0,2,1,0,0,0,0,0,44,47,"93,6",2,43,1,1,0,29/09/2024
Ángel Correa,Atlético Madrid,10,ARG,"AM,FW,CM",29,21,1,0,0,0,2,1,0,0,11,0,0,1,0.8,0.8,0,1,0,2,7,"28,6",0,8,1,1,1,29/09/2024
Marcos Llorente,Atlético Madrid,14,ESP,"RB,CM,WB",29,89,0,0,0,0,1,0,0,1,68,3,0,2,0,0,0.1,1,0,52,59,"88,1",3,44,1,1,0,29/09/2024
Rodrigo De Paul,Atlético Madrid,5,ARG,"RM,CM",30,90,0,0,0,0,0,0,0,0,79,2,0,1,0,0,0.1,6,0,56,69,"81,2",12,54,5,1,0,29/09/2024
Reinildo Mandava,Atlético Madrid,23,MOZ,"LB,CB",30,74,0,0,0,0,0,0,0,0,66,0,1,0,0,0,0,0,0,53,62,"85,5",4,48,0,3,0,29/09/2024
Javi Galán,Atlético Madrid,21,ESP,LB,29,16,0,1,0,0,0,0,0,0,12,1,2,0,0,0,0.7,1,1,7,9,"77,8",1,5,0,0,0,29/09/2024
José María Giménez,Atlético Madrid,2,URU,CB,29,90,0,0,0,0,0,0,0,0,75,4,1,1,0,0,0,0,0,58,62,"93,5",1,44,0,0,0,29/09/2024
Robin Le Normand,Atlético Madrid,24,ESP,CB,27,90,0,0,0,0,0,0,1,0,64,1,0,0,0,0,0,1,0,52,57,"91,2",5,41,0,0,0,29/09/2024
Nahuel Molina,Atlético Madrid,16,ARG,RB,26,45,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,32,34,"94,1",3,27,1,0,0,29/09/2024
Koke,Atlético Madrid,6,ESP,CM,32,45,0,0,0,0,0,0,0,0,55,2,1,0,0,0,0,2,1,40,49,"81,6",3,36,1,0,0,29/09/2024
Jan Oblak,Atlético Madrid,13,SVN,GK,31,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,19,25,"76,0",0,20,0,1,1,29/09/2024
Vinicius Júnior,Real Madrid,7,BRA,FW,24,86,0,1,0,0,1,1,0,0,44,2,0,0,0.1,0.1,0.3,3,1,25,31,"80,6",4,35,1,6,1,29/09/2024
Endrick,Real Madrid,16,BRA,FW,18,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,29/09/2024
Rodrygo,Real Madrid,11,BRA,"FW,LW",23,89,0,0,0,0,2,0,0,0,43,1,0,0,0.1,0.1,0.1,3,0,28,31,"90,3",3,29,0,3,0,29/09/2024
Fran Garcia,Real Madrid,20,ESP,LW,25,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,5,"100,0",0,6,0,0,0,29/09/2024
Jude Bellingham,Real Madrid,5,ENG,"LM,CM",21,90,0,0,0,0,2,1,0,0,71,1,2,1,0.2,0.2,0,0,0,55,57,"96,5",5,48,2,0,0,29/09/2024
Aurélien Tchouaméni,Real Madrid,14,FRA,CM,24,90,0,0,0,0,1,0,0,0,74,3,4,0,0.1,0.1,0,1,0,56,63,"88,9",5,42,2,0,0,29/09/2024
Luka Modrić,Real Madrid,10,CRO,CM,39,85,0,0,0,0,0,0,1,0,71,0,0,0,0,0,0.2,7,1,61,64,"95,3",0,50,4,0,0,29/09/2024
Lucas Vázquez,Real Madrid,17,ESP,RW,33,5,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,3,5,"60,0",0,5,0,1,0,29/09/2024
Federico Valverde,Real Madrid,8,URU,"RM,RW,CM",26,90,0,0,0,0,3,1,0,0,74,3,4,3,0.1,0.1,0.1,5,0,58,63,"92,1",9,46,2,1,0,29/09/2024
Ferland Mendy,Real Madrid,23,FRA,LB,29,90,0,0,0,0,0,0,0,0,59,1,1,2,0,0,0,0,0,49,53,"92,5",7,42,0,0,0,29/09/2024
Éder Militão,Real Madrid,3,BRA,CB,26,90,1,0,0,0,1,1,0,0,75,2,1,1,0,0,0,1,0,49,60,"81,7",7,50,1,1,0,29/09/2024
Antonio Rüdiger,Real Madrid,22,GER,CB,31,90,0,0,0,0,0,0,0,0,66,0,0,4,0,0,0,1,0,51,55,"92,7",3,45,0,0,0,29/09/2024
Dani Carvajal,Real Madrid,2,ESP,RB,32,90,0,0,0,0,1,0,0,0,68,2,1,2,0.2,0.2,0,1,0,43,51,"84,3",5,37,0,2,1,29/09/2024
Thibaut Courtois,Real Madrid,1,BEL,GK,32,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,41,"73,2",0,32,0,0,0,29/09/2024
Thierno Barry,Villarreal,15,FRA,FW,21,90,1,1,0,0,2,1,0,0,18,0,0,0,0.5,0.5,0.4,4,1,7,10,"70,0",0,6,1,0,0,30/09/2024
Nicolas Pépé,Villarreal,19,CIV,FW,29,87,1,0,0,0,4,1,0,0,41,0,0,0,0.6,0.6,0,5,0,24,30,"80,0",4,22,4,2,1,30/09/2024
Ramón Terrats,Villarreal,20,ESP,LM,23,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,2,"100,0",1,4,0,0,0,30/09/2024
Denis Suárez,Villarreal,6,ESP,LM,30,45,0,0,0,0,1,0,0,0,14,1,0,0,0.1,0.1,0.1,4,0,8,11,"72,7",2,7,3,0,0,30/09/2024
Alex Baena,Villarreal,16,ESP,"LM,FW",23,45,1,1,0,1,2,1,0,0,40,0,2,0,1.1,0.3,0.6,6,1,23,31,"74,2",6,21,1,1,0,30/09/2024
Pape Gueye,Villarreal,18,SEN,CM,25,76,0,0,0,0,1,0,0,0,54,3,1,0,0,0,0,1,0,38,45,"84,4",8,38,1,1,0,30/09/2024
Santi Comesaña,Villarreal,14,ESP,CM,27,14,0,1,0,0,0,0,0,0,18,2,1,0,0,0,0.1,1,1,11,17,"64,7",1,7,1,0,0,30/09/2024
Daniel Parejo,Villarreal,10,ESP,CM,35,90,0,0,0,0,0,0,0,0,72,0,1,1,0,0,0,2,1,60,69,"87,0",5,40,0,1,1,30/09/2024
Ilias Akhomach,Villarreal,11,MAR,RM,20,76,0,0,0,0,4,2,0,0,50,3,1,0,0.2,0.2,0.1,5,0,29,38,"76,3",2,32,5,6,4,30/09/2024
Pau Cabanes,Villarreal,33,ESP,RM,19,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,10,"90,0",1,7,0,0,0,30/09/2024
Sergi Cardona,Villarreal,23,ESP,LB,25,86,0,0,0,0,2,1,0,0,45,1,0,1,0.1,0.1,0.1,3,0,27,39,"69,2",0,22,3,0,0,30/09/2024
Juan Bernat,Villarreal,12,ESP,LB,31,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,"100,0",0,0,0,0,0,30/09/2024
Logan Costa,Villarreal,2,CPV,CB,23,90,0,0,0,0,0,0,0,0,58,1,0,1,0,0,0,0,0,49,52,"94,2",10,32,2,0,0,30/09/2024
Eric Bailly,Villarreal,4,CIV,CB,30,90,0,0,0,0,2,0,0,0,54,2,1,1,0.2,0.2,0,1,0,39,44,"88,6",1,20,0,1,1,30/09/2024
Kiko Femenía,Villarreal,17,ESP,RB,33,90,0,0,0,0,1,0,0,0,76,6,3,1,0,0,0.1,1,0,59,63,"93,7",6,33,0,1,0,30/09/2024
Diego Conde,Villarreal,13,ESP,GK,25,90,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,19,21,"90,5",0,12,0,0,0,30/09/2024
Hugo Duro,Valencia,9,ESP,FW,24,72,0,0,0,0,1,0,0,0,25,0,1,0,0.1,0.1,0,3,0,14,18,"77,8",1,9,0,1,0,04/10/2024
Dani Gómez,Valencia,17,ESP,FW,26,18,0,0,0,0,1,0,0,0,7,0,0,0,0.3,0.3,0,0,0,3,4,"75,0",1,3,0,0,0,04/10/2024
Luis Rioja,Valencia,22,ESP,LM,30,85,0,0,0,0,0,0,0,0,25,2,1,0,0,0,0.1,1,0,17,21,"81,0",4,19,4,1,1,04/10/2024
Germán Valera,Valencia,30,ESP,LM,22,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,04/10/2024
Domingos André Ribeiro Almeida,Valencia,10,POR,CM,24,72,0,0,0,0,0,0,0,0,37,1,1,0,0,0,0,1,0,21,31,"67,7",3,16,2,2,0,04/10/2024
Enzo Barrenechea,Valencia,5,ARG,CM,23,18,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,11,12,"91,7",1,8,0,1,1,04/10/2024
José Luis García Vayá,Valencia,18,ESP,CM,26,90,0,0,0,0,0,0,1,0,57,1,0,2,0,0,0,3,0,43,55,"78,2",8,23,0,0,0,04/10/2024
Sergi Canós,Valencia,7,ESP,RM,27,62,0,0,0,0,0,0,0,0,26,2,1,1,0,0,0,0,0,8,18,"44,4",0,14,1,2,0,04/10/2024
Diego López,Valencia,16,ESP,RM,22,28,0,0,0,0,2,1,0,0,11,1,0,0,0.1,0.1,0.3,1,0,5,6,"83,3",1,9,1,2,0,04/10/2024
Thierry Correia,Valencia,12,POR,LB,25,90,0,0,0,0,1,0,0,0,55,2,0,1,0,0,0,0,0,24,37,"64,9",0,18,1,3,1,04/10/2024
Yarek Gasiorowski,Valencia,24,ESP,CB,19,90,0,0,0,0,0,0,0,0,59,3,2,2,0,0,0,0,0,32,48,"66,7",1,20,0,0,0,04/10/2024
Cristhian Mosquera,Valencia,3,ESP,CB,20,90,0,0,0,0,0,0,0,0,54,1,1,2,0,0,0,0,0,42,44,"95,5",0,28,0,0,0,04/10/2024
César Tárrega,Valencia,15,ESP,CB,22,90,0,0,0,0,1,0,1,0,42,1,0,0,0,0,0,0,0,26,40,"65,0",0,17,0,0,0,04/10/2024
Dimitri Foulquier,Valencia,20,FRA,RB,31,90,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,2,0,23,31,"74,2",1,11,0,5,2,04/10/2024
Giorgi Mamardashvili,Valencia,25,GEO,GK,24,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,20,35,"57,1",0,12,0,0,0,04/10/2024
Vinicius Júnior,Real Madrid,7,BRA,FW,24,78,1,0,0,0,3,1,0,0,48,2,0,1,0.1,0.1,0.1,3,0,31,41,"75,6",2,33,12,4,2,05/10/2024
Arda Güler,Real Madrid,15,TUR,RW,19,12,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,4,"50,0",0,4,0,0,0,05/10/2024
Kylian Mbappé,Real Madrid,9,FRA,FW,25,70,0,0,0,0,3,0,0,0,33,0,0,0,0.1,0.1,0,3,0,21,24,"87,5",6,27,3,8,2,05/10/2024
Rodrygo,Real Madrid,11,BRA,"LW,FW",23,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,"100,0",0,4,0,1,1,05/10/2024
Jude Bellingham,Real Madrid,5,ENG,"LM,FW",21,90,0,0,0,0,2,0,0,0,72,3,0,1,0.1,0.1,0,3,0,60,62,"96,8",6,54,1,4,3,05/10/2024
Eduardo Camavinga,Real Madrid,6,FRA,CM,21,70,0,0,0,0,0,0,0,0,79,4,1,0,0,0,0,1,0,62,69,"89,9",3,55,0,1,0,05/10/2024
Éder Militão,Real Madrid,3,BRA,CB,26,20,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,13,14,"92,9",0,13,0,1,0,05/10/2024
Federico Valverde,Real Madrid,8,URU,CM,26,90,1,1,0,0,1,1,0,0,89,0,2,1,0,0,0.1,3,1,77,81,"95,1",6,56,1,0,0,05/10/2024
Luka Modrić,Real Madrid,10,CRO,"RM,CM",39,89,0,1,0,0,1,0,0,0,96,1,2,1,0.1,0.1,0.2,3,1,78,90,"86,7",11,65,1,1,1,05/10/2024
Lucas Vázquez,Real Madrid,17,ESP,CM,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"100,0",0,0,0,0,0,05/10/2024
Ferland Mendy,Real Madrid,23,FRA,LB,29,90,0,0,0,0,0,0,0,0,69,1,2,1,0,0,0,0,0,59,62,"95,2",0,39,1,1,0,05/10/2024
Antonio Rüdiger,Real Madrid,22,GER,CB,31,90,0,0,0,0,1,0,0,0,68,2,0,0,0.2,0.2,0,0,0,61,62,"98,4",2,39,0,0,0,05/10/2024
Aurélien Tchouaméni,Real Madrid,14,FRA,"CB,CM",24,90,0,0,0,0,0,0,0,0,57,1,1,1,0,0,0,1,0,48,51,"94,1",5,38,0,0,0,05/10/2024
Dani Carvajal,Real Madrid,2,ESP,RB,32,90,0,0,0,0,0,0,0,0,82,4,2,0,0,0,0.1,2,2,66,74,"89,2",3,50,4,0,0,05/10/2024
Andriy Lunin,Real Madrid,13,UKR,GK,25,90,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,34,"88,2",0,18,0,0,0,05/10/2024
Thierno Barry,Villarreal,15,FRA,FW,21,90,0,0,0,0,3,0,0,0,25,1,0,0,0.7,0.7,0.2,2,0,13,16,"81,3",2,15,2,1,0,05/10/2024
Alex Baena,Villarreal,16,ESP,LW,23,67,0,0,0,0,1,0,0,0,37,0,0,1,0.1,0.1,0.1,4,0,23,31,"74,2",6,18,0,1,0,05/10/2024
Yeremi Pino,Villarreal,21,ESP,LW,21,23,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0.4,0,0,8,10,"80,0",0,7,0,0,0,05/10/2024
Nicolas Pépé,Villarreal,19,CIV,RW,29,67,0,0,0,0,5,1,0,0,49,0,0,0,0.2,0.2,0,2,0,31,36,"86,1",1,35,2,4,1,05/10/2024
Ilias Akhomach,Villarreal,11,MAR,RW,20,23,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0.2,3,0,10,10,"100,0",0,10,2,2,1,05/10/2024
Pape Gueye,Villarreal,18,SEN,LM,25,90,0,0,0,0,1,0,0,0,54,3,1,0,0.2,0.2,0.1,2,0,35,46,"76,1",8,38,1,1,0,05/10/2024
Daniel Parejo,Villarreal,10,ESP,CM,35,78,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,1,0,64,65,"98,5",6,40,0,0,0,05/10/2024
Ramón Terrats,Villarreal,20,ESP,RM,23,12,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,0,12,12,"100,0",2,10,0,1,0,05/10/2024
Santi Comesaña,Villarreal,14,ESP,"RM,CM",28,90,0,0,0,0,0,0,0,0,80,1,1,3,0,0,0,2,0,64,69,"92,8",4,42,1,3,1,05/10/2024
Sergi Cardona,Villarreal,23,ESP,LB,25,85,0,0,0,0,0,0,0,0,45,1,0,2,0,0,0.1,2,0,30,36,"83,3",2,26,5,2,0,05/10/2024
Juan Bernat,Villarreal,12,ESP,LB,31,5,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,6,8,"75,0",1,10,1,3,0,05/10/2024
Logan Costa,Villarreal,2,CPV,CB,23,90,0,0,0,0,0,0,0,0,61,0,1,2,0,0,0,1,0,50,56,"89,3",4,39,0,0,0,05/10/2024
Raúl Albiol,Villarreal,3,ESP,CB,39,67,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,35,37,"94,6",1,20,0,0,0,05/10/2024
Eric Bailly,Villarreal,4,CIV,CB,30,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,22,23,"95,7",0,13,0,0,0,05/10/2024
Kiko Femenía,Villarreal,17,ESP,RB,33,90,0,0,0,0,0,0,1,0,82,4,3,2,0,0,0,2,0,64,72,"88,9",3,48,4,0,0,05/10/2024
Diego Conde,Villarreal,13,ESP,GK,25,90,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,21,23,"91,3",0,10,0,0,0,05/10/2024
Gorka Guruzeta,Athletic Club,12,ESP,FW,28,58,0,0,0,0,2,0,0,0,19,0,0,0,0.2,0.2,0,1,0,11,15,"73,3",1,10,0,2,2,06/10/2024
Álvaro djaló,Athletic Club,11,ESP,FW,25,32,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.3,3,0,2,3,"66,7",0,5,1,3,1,06/10/2024
Álex Berenguer,Athletic Club,7,ESP,LW,29,90,0,1,0,1,2,0,0,0,35,1,1,2,0.9,0.1,0.6,5,1,16,23,"69,6",2,25,3,4,1,06/10/2024
Iñaki Williams,Athletic Club,9,GHA,RW,30,90,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,4,1,15,21,"71,4",2,23,2,5,1,06/10/2024
Ander Herrera,Athletic Club,21,ESP,"LM,CM",35,78,0,0,0,1,2,1,0,0,45,3,0,1,0.8,0,0,2,0,29,30,"96,7",1,29,0,0,0,06/10/2024
Beñat Prados,Athletic Club,24,ESP,CM,23,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,10,"70,0",2,3,0,0,0,06/10/2024
Iñigo Ruiz de Galarreta,Athletic Club,16,ESP,CM,31,58,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0.1,2,0,15,19,"78,9",0,17,1,0,0,06/10/2024
Mikel Jauregizar,Athletic Club,23,ESP,RM,20,32,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,5,8,"62,5",0,4,0,1,1,06/10/2024
Oihan Sancet,Athletic Club,8,ESP,RM,24,42,1,0,0,0,1,1,0,0,24,1,0,2,0.5,0.5,0.2,1,0,16,19,"84,2",2,17,2,1,1,06/10/2024
Unai Gómez,Athletic Club,20,ESP,"LM,RM",21,48,0,0,0,0,2,0,0,0,13,0,0,0,0.3,0.3,0,1,0,5,7,"71,4",1,7,2,1,0,06/10/2024
Adama Boiro,Athletic Club,32,ESP,LB,22,77,0,0,0,0,0,0,0,0,38,3,1,3,0,0,0,0,0,18,29,"62,1",1,16,2,0,0,06/10/2024
Yuri Berchiche,Athletic Club,17,ESP,LB,34,13,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0,1,0,9,9,"100,0",2,5,1,0,0,06/10/2024
Aitor Paredes,Athletic Club,4,ESP,CB,24,89,0,0,0,0,0,0,2,1,43,1,1,2,0,0,0,0,0,29,34,"85,3",0,31,0,0,0,06/10/2024
Daniel Vivian,Athletic Club,3,ESP,CB,25,90,0,0,0,0,0,0,1,0,41,1,2,0,0,0,0,0,0,27,32,"84,4",1,24,0,0,0,06/10/2024
Óscar de Marcos,Athletic Club,18,ESP,RB,35,90,0,0,0,0,1,0,0,0,52,4,0,2,0,0,0,0,0,35,40,"87,5",5,27,0,1,0,06/10/2024
Alex Padilla,Athletic Club,26,ESP,GK,21,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,20,31,"64,5",0,19,0,0,0,06/10/2024
Robert Lewandowski,Barcelona,9,POL,FW,36,90,3,0,0,0,6,5,0,0,42,2,0,1,1.8,1.8,0,1,0,18,26,"69,2",1,27,1,2,1,06/10/2024
Ferrán Torres,Barcelona,7,ESP,LW,24,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0,0",0,0,0,0,0,06/10/2024
Eric García,Barcelona,24,ESP,"DM,CB",23,85,0,1,0,0,1,0,0,0,60,1,0,2,0,0,0.4,2,1,51,55,"92,7",5,34,0,0,0,06/10/2024
Lamine Yamal,Barcelona,19,ESP,RW,17,66,0,0,0,0,1,0,0,0,31,0,3,0,0,0,0,2,1,14,17,"82,4",2,20,2,7,4,06/10/2024
Ansu Fati,Barcelona,10,ESP,"RW,LW",21,24,0,0,0,0,2,2,0,0,19,0,0,0,0.2,0.2,0,3,0,10,13,"76,9",1,12,1,2,1,06/10/2024
Raphinha,Barcelona,11,BRA,"LW,RW,AM",27,90,0,2,0,0,3,1,0,0,47,3,0,0,0.5,0.5,1.3,9,3,27,34,"79,4",4,20,5,2,1,06/10/2024
Pedri,Barcelona,8,ESP,"AM,DM",21,90,0,0,0,0,1,1,0,0,61,4,1,1,0.1,0.1,0.1,2,0,37,46,"80,4",2,39,2,1,1,06/10/2024
Marc Casado,Barcelona,17,ESP,DM,21,90,0,0,0,0,0,0,0,0,89,4,1,0,0,0,0.1,2,1,75,81,"92,6",5,46,1,0,0,06/10/2024
Alejandro Balde,Barcelona,3,ESP,LB,20,80,0,0,0,0,0,0,0,0,37,1,0,1,0,0,0,1,0,24,26,"92,3",0,18,2,2,1,06/10/2024
Frenkie de Jong,Barcelona,21,NED,DM,27,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,"66,7",1,1,0,0,0,06/10/2024
Iñigo Martínez,Barcelona,5,ESP,CB,33,80,0,0,0,0,0,0,1,0,100,0,1,1,0,0,0.4,1,0,91,95,"95,8",4,65,1,0,0,06/10/2024
Gerard Martín,Barcelona,35,ESP,LB,22,10,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,6,6,"100,0",0,3,0,0,0,06/10/2024
Pau Cubarsí,Barcelona,2,ESP,CB,17,90,0,0,0,0,0,0,0,0,126,0,1,1,0,0,0,2,0,111,117,"94,9",3,93,1,0,0,06/10/2024
Héctor Fort,Barcelona,32,ESP,RB,18,66,0,0,0,0,0,0,0,0,76,2,0,0,0,0,0,1,0,69,73,"94,5",4,33,1,1,1,06/10/2024
Jules Koundé,Barcelona,23,FRA,RB,25,24,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,30,33,"90,9",0,20,1,1,1,06/10/2024
Iñaki Peña,Barcelona,13,ESP,GK,25,90,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,52,62,"83,9",0,35,0,0,0,06/10/2024
Isaac Romero,Sevilla,7,ESP,FW,24,71,0,0,0,0,1,1,0,0,20,0,0,1,0.2,0.2,0,0,0,13,15,"86,7",1,17,1,0,0,06/10/2024
Jesús Navas,Sevilla,16,ESP,RW,38,19,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,2,0,8,14,"57,1",1,7,1,1,1,06/10/2024
Chidera Ejuke,Sevilla,21,NGA,LW,26,89,0,0,0,0,1,0,0,0,36,2,0,1,0,0,0.3,5,0,24,26,"92,3",3,24,7,7,5,06/10/2024
Marcão,Sevilla,23,BRA,CB,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,06/10/2024
Dodi Lukebakio,Sevilla,11,BEL,"RW,FW",27,90,1,0,1,1,4,2,0,0,52,2,0,0,1.1,0.3,0,0,0,26,38,"68,4",1,32,7,6,3,06/10/2024
Peque,Sevilla,14,ESP,AM,22,78,0,0,0,0,1,1,0,0,27,0,0,1,0,0,0.2,2,0,16,23,"69,6",2,25,3,0,0,06/10/2024
Suso,Sevilla,10,ESP,AM,30,12,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,2,3,"66,7",0,5,0,1,1,06/10/2024
Nemanja Gudelj,Sevilla,6,SRB,DM,32,90,0,0,0,0,3,0,1,0,54,3,2,1,0.1,0.1,0,4,0,36,42,"85,7",2,21,0,0,0,06/10/2024
Lucien Agoume,Sevilla,18,FRA,DM,22,71,0,0,0,0,1,0,1,0,53,3,1,0,0,0,0,4,1,32,43,"74,4",5,34,1,2,2,06/10/2024
Albert Sambi Lokonga,Sevilla,12,BEL,DM,24,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,"60,0",0,5,0,1,1,06/10/2024
Adrià Pedrosa,Sevilla,3,ESP,LB,26,78,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,1,0,24,31,"77,4",1,19,2,0,0,06/10/2024
Kike Salas,Sevilla,4,ESP,LB,22,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,"33,3",0,1,0,0,0,06/10/2024
Tanguy Nianzou,Sevilla,24,FRA,CB,22,89,0,0,0,0,0,0,2,1,51,1,1,1,0,0,0,0,0,36,44,"81,8",3,34,2,1,1,06/10/2024
Loïc Bade,Sevilla,22,FRA,CB,24,90,0,0,0,0,0,0,0,0,79,4,0,1,0,0,0,1,0,53,68,"77,9",2,48,0,0,0,06/10/2024
Carmona,Sevilla,32,ESP,RB,22,90,0,0,0,0,1,0,1,0,52,5,1,0,0,0,0,1,0,34,42,"81,0",1,27,0,0,0,06/10/2024
Ørjan Nyland,Sevilla,13,NOR,GK,34,90,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,20,38,"52,6",0,29,0,0,0,06/10/2024
Vitor Roque,Real Betis,8,BRA,FW,19,63,0,0,0,0,3,3,0,0,15,0,0,0,0.3,0.3,0.1,3,0,6,7,"85,7",0,10,1,0,0,06/10/2024
Cédric Bakambu,Real Betis,11,COD,FW,33,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,"25,0",0,2,0,1,0,06/10/2024
Abde Ezzalzouli,Real Betis,10,MAR,LW,22,78,0,0,0,0,1,0,1,0,31,1,1,0,0,0,0,1,0,10,14,"71,4",1,18,1,4,2,06/10/2024
Ezequiel Ávila,Real Betis,9,ARG,LW,30,12,0,0,0,0,1,0,1,0,7,1,0,0,0.1,0.1,0,0,0,0,5,"0,0",0,4,0,0,0,06/10/2024
Pablo Fornals,Real Betis,18,ESP,"RW,DM",28,90,0,0,0,0,0,0,0,0,39,2,0,4,0,0,0,2,0,22,33,"66,7",1,15,1,0,0,06/10/2024
Giovani Lo Celso,Real Betis,20,ARG,AM,28,90,0,0,0,0,3,0,0,0,57,1,1,0,0.1,0.1,0.1,4,0,31,43,"72,1",7,29,3,2,1,06/10/2024
Marc Roca,Real Betis,21,ESP,DM,27,63,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0,1,0,24,29,"82,8",5,22,0,0,0,06/10/2024
Aitor Ruibal,Real Betis,24,ESP,RW,28,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,8,9,"88,9",2,8,2,1,1,06/10/2024
Johnny Cardoso,Real Betis,4,USA,DM,23,90,0,0,0,0,1,0,0,0,46,2,1,1,0,0,0,3,0,28,33,"84,8",1,17,0,1,0,06/10/2024
Ricardo Rodríguez,Real Betis,12,SUI,LB,32,85,0,0,0,0,0,0,0,0,40,2,0,1,0,0,0,0,0,20,32,"62,5",2,12,0,0,0,06/10/2024
